name,launchDate,audienceCum8,screen8,audienceCum14,screen14,nation,grade,groupGenre,favor,holiday,like,dislike,distCom,director,actor,actorPower8,actorPower14,directorPower8,directorPower14,distPower8,distPower14,launchDay,series,8hol,14hol
언브로큰,2015-01-07,241245,401,255019,401,northA,15,Action/Criminal,3019,0,3318,299,유니버설픽쳐스인터내셔널 코리아(유),안젤리나 졸리,"잭 오코넬,돔놀 글리슨,가렛 헤드룬드,핀 위트록",1202901.5,1585539.5,241245,255019,708672.65854,965092.63415,Wed,0,2,4
워킹걸,2015-01-07,134144,308,142262,308,korea,19,Comedy,-9857,0,4677,14534,메가박스(주)플러스엠,정범식,"조여정,클라라,김태우,배유람,정범식,정범식,박주희,백경인,조은영,손진우,배성우,유찬호,김세미,라미란,김승주,이민아,황준호,이승원,이시현,박상민,조재윤,김영옥,김보연,오나라",3909583.9,5759212.2,134144,142262,693225.23077,986813.84615,Wed,0,2,4
패딩턴,2015-01-07,242690,408,304134,408,europe,All,Comedy,1428,0,1592,164,롯데쇼핑㈜롯데엔터테인먼트,폴 킹,"니콜 키드먼,벤 위쇼,휴 보네빌,샐리 호킨스",999327.33333,1314604.6667,242690,304134,761607.21053,990233.84211,Wed,0,2,4
극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,2015-01-14,197006,360,229967,360,others,All,Animation,4034,0,4286,252,롯데쇼핑㈜롯데엔터테인먼트,유야마 쿠니히코,,1,1,179720.33333,251038.66667,761607.21053,990233.84211,Wed,0,2,4
박물관이 살아있다 : 비밀의 무덤,2015-01-14,692443,500,945679,500,northA,All,SF/Fantasy/Adventure,3003,0,3273,270,이십세기폭스코리아(주),숀 레비,"벤 스틸러,로빈 윌리엄스,댄 스티븐스,오웬 윌슨,벤 킹슬리,레벨 윌슨",3354061.4,4681474,692443,945679,904472.46429,1334770.9286,Wed,0,2,4
아메리칸 스나이퍼,2015-01-14,211064,308,269728,308,northA,19,Action/Criminal,1666,0,1823,157,워너브러더스 코리아(주),클린트 이스트우드,"브래들리 쿠퍼,시에나 밀러",827902.75,1006779.75,314563,415966,898054.19231,1389867.7308,Wed,0,2,4
오늘의 연애,2015-01-14,1214638,709,1630948,709,korea,15,Melo/Romance,17193,0,19766,2573,씨제이이앤엠(주),박진표,"이승기,문채원,이서진,장진우,이경진,이동진,임하룡,이상협,김광규,김부선,가인,임종윤,남능미",5713540.5,7650886.5,1214638,1630948,965818.5,1527981.32,Wed,0,2,4
허삼관,2015-01-14,716990,621,891597,621,korea,12,Drama,8566,0,10731,2165,(주)넥스트엔터테인먼트월드(NEW),하정우,"하정우,하지원,전혜진,장광,주진모,성동일,이경영,김영애,정만식,조진웅,김기천,김성균,윤은혜,황보라,강민지,전현석,정우진,이경원,이민호,이수인,이승준,이승호,김재화,김시은",15673412.867,22370777.167,716990,891597,856399.86207,1282562.7931,Wed,0,2,4
강남 1970,2015-01-21,1289783,841,1865834,841,korea,19,Action/Criminal,17259,0,21361,4102,(주)쇼박스,유하,"이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,유정호,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호",11205328.5,16653437.75,1289783,1865834,1813712.1579,2780266.9474,Wed,0,2,4
빅 히어로,2015-01-21,1059822,825,1824082,825,northA,All,Animation,4078,0,5065,987,월트디즈니컴퍼니코리아(주),"돈 홀,크리스 윌리암스","라이언 포터,스콧 애짓,다니엘 헤니,제이미 정,T.J. 밀러,제네시스 로드리게스,데이몬 웨이언스 주니어,마야 루돌프,제임스 크롬웰,알란 터딕",6974695.5,11328925.5,2119644,3648164,1425444.125,2503493.875,Wed,0,2,4
